user_id,total_hours,avg_hours,max_hours,unique_games,purchase_count,total_interactions,hours_per_game,purchase_ratio,cluster
5250,225.5,8.351851851851851,144.0,21,21,27,10.738095238095235,0.7777777777777778,1
76767,1227.0,21.910714285714285,365.0,36,36,56,34.083333333333336,0.6428571428571429,0
86540,255.0,2.6288659793814433,113.0,82,82,97,3.1097560975609757,0.845360824742268,1
103360,0.0,0.0,0.0,10,10,10,0.0,1.0,1
144736,0.1,0.0111111111111111,0.1,8,8,9,0.0125,0.8888888888888888,1
181212,2.2,0.1571428571428571,1.8,12,12,14,0.1833333333333333,0.8571428571428571,1
229911,390.5,8.677777777777777,165.0,27,27,45,14.462962962962964,0.6,0
298950,3745.4,8.629953917050692,1019.0,259,259,434,14.461003861003862,0.5967741935483871,2
299153,0.0,0.0,0.0,14,14,14,0.0,1.0,1
381543,3.0,0.2727272727272727,3.0,10,10,11,0.3,0.9090909090909092,1
547685,512.6,17.086666666666666,489.0,25,25,30,20.504,0.8333333333333334,1
554278,281.0,7.594594594594595,216.0,28,28,37,10.035714285714286,0.7567567567567568,1
561758,1040.9,4.6468750000000005,147.0,144,144,224,7.228472222222223,0.6428571428571429,2
577614,36.0,4.0,36.0,8,8,9,4.5,0.8888888888888888,1
604988,0.0,0.0,0.0,8,8,8,0.0,1.0,1
622362,71.0,5.071428571428571,35.0,10,10,14,7.1,0.7142857142857143,1
635733,0.6,0.0666666666666666,0.6,8,8,9,0.075,0.8888888888888888,1
683019,42.9,2.86,38.0,13,13,15,3.3,0.8666666666666667,1
714122,3.5,0.2692307692307692,1.6,10,10,13,0.35,0.7692307692307693,1
748719,1487.2,33.04888888888889,1329.0,30,30,45,49.57333333333334,0.6666666666666666,0
835015,0.0,0.0,0.0,8,8,8,0.0,1.0,1
861238,1.9,0.1583333333333333,0.7,9,9,12,0.2111111111111111,0.75,1
871990,134.2,8.946666666666665,131.0,12,12,15,11.183333333333332,0.8,1
937567,1.4,0.0736842105263158,1.1,17,17,19,0.0823529411764706,0.8947368421052632,1
948368,88.5,5.205882352941177,83.0,14,14,17,6.321428571428571,0.8235294117647058,1
975449,2165.0,3.7327586206896552,458.0,378,378,580,5.727513227513228,0.6517241379310345,2
976129,0.5,0.0555555555555555,0.5,8,8,9,0.0625,0.8888888888888888,1
983600,55.0,4.230769230769231,55.0,12,12,13,4.583333333333333,0.9230769230769232,1
994489,1396.2,48.1448275862069,1087.0,23,23,29,60.70434782608696,0.7931034482758621,1
1006880,0.0,0.0,0.0,8,8,8,0.0,1.0,1
1024319,12.1,1.3444444444444443,12.1,8,8,9,1.5125,0.8888888888888888,1
1072465,102.7,4.890476190476191,75.0,15,15,21,6.846666666666667,0.7142857142857143,1
1129452,671.4,19.18285714285714,257.0,22,22,35,30.518181818181816,0.6285714285714286,0
1135775,1.3,0.1444444444444444,1.3,8,8,9,0.1625,0.8888888888888888,1
1268792,0.5,0.0555555555555555,0.5,8,8,9,0.0625,0.8888888888888888,1
1364546,553.9,50.35454545454545,553.0,9,9,11,61.54444444444445,0.8181818181818182,1
1423371,241.0,24.1,241.0,9,9,10,26.77777777777778,0.9,1
1601069,0.0,0.0,0.0,8,8,8,0.0,1.0,1
1601773,0.0,0.0,0.0,10,10,10,0.0,1.0,1
1603625,0.0,0.0,0.0,8,8,8,0.0,1.0,1
